"Coffee (grams)""",Time,Time Prediction,Output,Grinder,Grinder Setting,Coffee,Arbitrary rating 1-10,Details,Brew Ratio,Machine,Date
18,27,,34.5,Niche Zero,10,Candlestick - Corrales Blend,7,spro,1.916666667,Linea Mini,
18,22,,38,Niche Zero,10,Candlestick - Corrales Blend,6,spro,2.111111111,Linea Mini,
18,31,,35.8,Niche Zero,9,Candlestick - Corrales Blend,8,spro,1.988888889,Linea Mini,
18,36,,36.8,Niche Zero,9,Candlestick - Corrales Blend,8,spro,2.044444444,Linea Mini,
18,33,,35.7,Niche Zero,9,Candlestick - Corrales Blend,7,spro,1.983333333,Linea Mini,
18,35,,36,Niche Zero,9,Candlestick - Corrales Blend,8,spro,2,Linea Mini,
18.1,30,,36,Niche Zero,9,Candlestick - Corrales Blend,8,spro,1.988950276,Linea Mini,
18,40,,36,Niche Zero,9,drive - le mans columbia,6,spro,2,Linea Mini,
18,25,,37.8,Niche Zero,11,drive - le mans columbia,7,spro,2.1,Linea Mini,
18,36,,38.7,Niche Zero,10,drive - le mans columbia,8,spro,2.15,Linea Mini,
18,26,,36.4,Niche Zero,10,drive - le mans columbia,8,spro,2.022222222,Linea Mini,
18,27,,35.6,Niche Zero,10,drive - le mans columbia,7,spro,1.977777778,Linea Mini,
18,32,,36,Niche Zero,10,pmc - kenya mchana estate honey,8,spro,2,Linea Mini,
18,30,,38,Niche Zero,11,pmc - kenya mchana estate honey,9,spro,2.111111111,Linea Mini,
18,31,,38,Niche Zero,10.5,pmc - kenya mchana estate honey,8,spro,2.111111111,Linea Mini,
18,34,,37,Niche Zero,11,pmc - kenya mchana estate honey,8,spro,2.055555556,Linea Mini,
17,32,,48,Niche Zero,10.5,pmc - kenya mchana estate honey,6,spro,2.823529412,Linea Mini,
18,31,,36,Niche Zero,12,drive - le mans columbia,8,spro,2,Linea Mini,
18.1,26,,37,MC3,9.25,barrington - 413,6,spro,2.044198895,Linea Mini,
18,25,,36,MC3,8.75,barrington - 413,7,spro,2,Linea Mini,
18,30,,37,MC3,8.5,barrington - 413,8,spro,2.055555556,Linea Mini,
18,38,,37,MC3,8.5,barrington - 413,6,spro,2.055555556,Linea Mini,
18,31,,36,MC3,8.5,Madcap - Yenni Reinoso,8,spro,2,Linea Mini,
18,25,,37,MC3,8.5,Madcap - Yenni Reinoso,7,spro,2.055555556,Linea Mini,
18,41,,36,MC3,8.5,barrington - 413,0,spro,2,Linea Mini,
18,8,,36,Niche Zero,16,Amazon Basic - Columbian Medium,0,waste,0,Linea Mini,
18,11,,36,Niche Zero,16,Amazon Basic - Columbian Medium,0,waste,0,Linea Mini,
18,9,,36,Niche Zero,16,Amazon Basic - Columbian Medium,0,waste,0,Linea Mini,
